"ATEC","Alphatec Holdings, Inc.","2.165","$23.51M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec",
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","26.56","$5.31M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/swin",
"ALT","Altimmune, Inc.","5.55","$3.82M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alt",
"ASPS","Altisource Portfolio Solutions S.A.","20.16","$371.6M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","42.15","$1.24B","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","20.05","$702.66M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation plc","3.06","$833.21M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","15.51","$109.06M","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AYA","Amaya Inc.","19.05","$2.79B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aya",
"AMZN","Amazon.com, Inc.","957.97","$457.89B","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","17.3","$782.46M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","8","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","61.62","$2.07B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"AMCX","AMC Networks Inc.","54.07","$3.6B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","63.47","$9.31B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","0.3696","$13.4M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","59.6","$2.01B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","366.48","$7.19B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
"ATAX","America First Multifamily Investors, L.P.","5.8","$349.47M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","15.792","$51.95B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","46.68","$22.99B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"ACSF","American Capital Senior Floating, Ltd.","13.6","$136M","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf",
"AETI","American Electric Technologies, Inc.","1.9","$15.84M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AMNB","American National Bankshares, Inc.","36.65","$316.61M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","115.4","$3.11B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"AOBC","American Outdoor Brands Corporation","22.65","$1.3B","n/a","Capital Goods","Ordnance And Accessories","http://www.nasdaq.com/symbol/aobc",
"APEI","American Public Education, Inc.","24.15","$392.05M","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","37.42","$714.12M","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"AMRB","American River Bankshares","13.76","$89.2M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"AMSWA","American Software, Inc.","10.83","$319.17M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
